transition_id,person_id,from_role,to_role,from_industry,to_industry,transition_date,transition_time_months
763,383,Developer,Designer,Education,E-Commerce,2025-08-11,4
764,384,Manager,Data Analyst,Healthcare,Technology,2023-09-28,21
765,385,Developer,Product Owner,Hospitality,E-Commerce,2022-09-04,15
766,385,Developer,Product Owner,Education,Healthcare,2023-09-04,15
767,386,Developer,Data Analyst,Healthcare,N/A,2023-04-17,11
768,386,Cashier,Data Analyst,Retail,Consulting,2024-04-16,8
769,387,Nurse,Project Manager,Technology,Healthcare,2015-01-07,21
770,388,Manager,Product Owner,Hospitality,Finance,2022-07-09,24
771,389,Manager,Designer,Retail,Healthcare,2019-12-20,17
772,390,Nurse,Engineer,Healthcare,Technology,2020-11-21,18
773,390,Nurse,Project Manager,Hospitality,Technology,2021-11-21,4
774,391,Nurse,Product Owner,Education,E-Commerce,2016-05-18,15
775,392,Nurse,Data Analyst,Technology,Healthcare,2021-05-07,2
776,392,Teacher,Product Owner,Healthcare,Finance,2022-05-07,10
777,393,Manager,Designer,Technology,Technology,2018-05-05,8
778,393,Teacher,Project Manager,Hospitality,Finance,2019-05-05,20
779,393,Developer,Data Analyst,Retail,Consulting,2020-05-04,7
780,394,Developer,Designer,Technology,Technology,2015-12-17,19
781,394,Manager,Engineer,Education,E-Commerce,2016-12-16,15
782,395,Developer,Project Manager,Healthcare,Consulting,2019-04-30,16
783,395,Nurse,Designer,Education,Healthcare,2020-04-29,14
784,396,N/A,Designer,Technology,Finance,2019-08-31,18
785,396,Nurse,Data Analyst,Retail,Technology,2020-08-30,22
786,396,Developer,Engineer,Retail,Consulting,2021-08-30,6
787,397,Teacher,Designer,N/A,Consulting,2020-05-28,23
788,398,Nurse,Project Manager,Hospitality,Technology,2015-11-14,14
789,398,Manager,Designer,Hospitality,Healthcare,2016-11-13,20
790,399,N/A,Product Owner,Retail,N/A,2015-03-06,3
791,400,Developer,Project Manager,Education,E-Commerce,2018-01-08,24
792,401,Teacher,Project Manager,Education,Healthcare,2015-02-06,9
793,401,Manager,Designer,Education,E-Commerce,2016-02-06,13
794,402,Teacher,Data Analyst,Technology,Consulting,2017-03-24,3
795,403,Manager,Project Manager,Hospitality,Technology,2021-06-02,4
796,404,Teacher,Product Owner,Hospitality,Healthcare,2023-11-10,2
797,404,Developer,N/A,Technology,E-Commerce,2024-11-09,20
798,405,Manager,Data Analyst,Healthcare,Consulting,2019-02-25,21
799,405,Cashier,Data Analyst,Technology,Healthcare,2020-02-25,15
800,406,Teacher,Project Manager,Education,Finance,2024-07-14,10
801,407,Teacher,Data Analyst,Technology,Consulting,2023-05-30,6
802,408,Nurse,Designer,Education,Healthcare,2024-06-10,19
803,408,Manager,Data Analyst,Retail,Consulting,2025-06-10,7
804,408,Cashier,N/A,Education,Technology,2026-06-10,13
805,409,Developer,Engineer,Hospitality,Technology,2015-08-01,17
806,410,Nurse,Product Owner,Technology,Technology,2018-08-16,14
807,411,Cashier,Project Manager,Education,Finance,2020-04-08,3
808,412,Manager,Data Analyst,Healthcare,Technology,2020-11-21,24
809,412,Cashier,Data Analyst,Retail,Finance,2021-11-21,1
810,413,Teacher,Designer,Healthcare,Technology,2015-12-10,13
811,413,Teacher,N/A,Healthcare,Consulting,2016-12-09,4
812,414,Nurse,N/A,Healthcare,Healthcare,2017-11-22,14
813,415,Manager,Project Manager,Retail,Healthcare,2020-05-18,8
814,415,Manager,Engineer,Retail,Technology,2021-05-18,23
815,416,Cashier,Data Analyst,Retail,Healthcare,2023-07-23,23
816,416,Nurse,Engineer,Retail,Technology,2024-07-22,7
817,416,Manager,Data Analyst,Healthcare,Technology,2025-07-22,10
818,417,Teacher,Project Manager,Hospitality,E-Commerce,2021-10-20,2
819,417,Cashier,Product Owner,Hospitality,E-Commerce,2022-10-20,15
820,417,N/A,Project Manager,Retail,E-Commerce,2023-10-20,9
821,418,Teacher,Engineer,Technology,Finance,2022-09-13,17
822,418,Nurse,Data Analyst,Education,E-Commerce,2023-09-13,7
823,418,Manager,Engineer,Technology,Technology,2024-09-12,20
824,419,Teacher,Product Owner,Technology,Consulting,2021-09-30,15
825,419,Developer,Project Manager,Technology,E-Commerce,2022-09-30,18
826,420,Developer,Engineer,Hospitality,E-Commerce,2015-10-21,12
827,420,Nurse,Engineer,Education,Consulting,2016-10-20,23
828,420,Teacher,Product Owner,Technology,Technology,2017-10-20,21
829,421,Cashier,Data Analyst,Retail,Finance,2019-01-17,8
830,421,Teacher,N/A,Hospitality,E-Commerce,2020-01-17,2
831,422,Developer,Product Owner,Retail,Consulting,2015-10-23,5
832,422,Nurse,Data Analyst,Retail,Technology,2016-10-22,1
833,423,Nurse,Data Analyst,Technology,Healthcare,2019-08-19,4
834,423,Cashier,Project Manager,Retail,Finance,2020-08-18,6
835,424,Nurse,Product Owner,Education,Consulting,2015-02-22,13
836,424,Nurse,Data Analyst,Retail,N/A,2016-02-22,19
837,424,Nurse,Project Manager,Technology,Consulting,2017-02-21,11
838,425,Nurse,Designer,Retail,E-Commerce,2018-07-02,8
839,426,N/A,Product Owner,Hospitality,Healthcare,2019-08-25,13
840,426,Developer,Designer,N/A,Finance,2020-08-24,1
841,426,Teacher,N/A,Hospitality,N/A,2021-08-24,6
842,427,Manager,Product Owner,Healthcare,Technology,2021-12-10,16
843,427,Nurse,Project Manager,Hospitality,Healthcare,2022-12-10,15
844,427,Manager,Data Analyst,Hospitality,Consulting,2023-12-10,20
845,428,Manager,Product Owner,Healthcare,Consulting,2022-10-24,2
846,428,Developer,Product Owner,Hospitality,Consulting,2023-10-24,23
847,429,Nurse,Designer,Technology,Consulting,2020-12-02,24
848,430,Manager,Data Analyst,Hospitality,Consulting,2020-01-24,3
849,430,Nurse,Project Manager,Hospitality,N/A,2021-01-23,4
850,430,Cashier,Project Manager,Healthcare,E-Commerce,2022-01-23,12
851,431,Cashier,Data Analyst,Technology,Finance,2016-03-03,17
852,432,Cashier,Data Analyst,Retail,Consulting,2024-02-16,6
853,432,Manager,N/A,Education,E-Commerce,2025-02-15,10
854,432,Cashier,Designer,Technology,Technology,2026-02-15,22
855,433,Developer,N/A,N/A,Healthcare,2017-06-27,10
856,433,Developer,Data Analyst,Technology,E-Commerce,2018-06-27,6
857,434,Manager,Engineer,Retail,Consulting,2019-01-31,20
858,434,Nurse,Engineer,Retail,Consulting,2020-01-31,15
859,435,Teacher,Product Owner,Technology,Consulting,2022-03-19,16
860,436,Nurse,Project Manager,Healthcare,E-Commerce,2024-03-20,24
861,436,Nurse,Designer,Technology,Consulting,2025-03-20,8
862,437,Nurse,Product Owner,Technology,E-Commerce,2023-08-04,19
863,437,Nurse,Data Analyst,Retail,Consulting,2024-08-03,17
864,437,Teacher,Engineer,Education,Technology,2025-08-03,21
865,438,Cashier,Project Manager,Retail,Technology,2016-08-21,15
866,439,Nurse,Product Owner,Hospitality,Finance,2015-10-05,2
867,439,Developer,Project Manager,Technology,Consulting,2016-10-04,10
868,440,Manager,Engineer,Technology,Consulting,2016-04-14,18
869,441,Manager,Product Owner,Healthcare,E-Commerce,2019-02-22,23
870,441,Developer,Product Owner,N/A,E-Commerce,2020-02-22,11
871,442,Nurse,Project Manager,Healthcare,Consulting,2024-05-07,19
872,443,Teacher,Engineer,Technology,Finance,2017-04-01,24
873,444,Cashier,Data Analyst,Retail,Consulting,2022-08-05,24
874,445,Manager,Product Owner,Retail,E-Commerce,2017-12-08,5
875,445,Cashier,Data Analyst,Hospitality,Consulting,2018-12-08,3
876,446,Teacher,Engineer,Hospitality,E-Commerce,2016-03-21,23
877,446,Manager,Product Owner,Education,Consulting,2017-03-21,13
878,446,Cashier,Product Owner,Hospitality,Healthcare,2018-03-21,5
879,447,Teacher,Data Analyst,Retail,N/A,2015-10-29,6
880,447,Cashier,Designer,Hospitality,Finance,2016-10-28,22
881,448,Nurse,Data Analyst,Education,Healthcare,2020-05-02,17
882,449,Teacher,Data Analyst,Technology,Consulting,2016-09-14,13
883,449,Cashier,Designer,Hospitality,E-Commerce,2017-09-14,5
884,450,Nurse,Engineer,Retail,Healthcare,2019-02-23,22
885,451,Nurse,Engineer,Technology,Finance,2019-02-28,17
886,451,Teacher,N/A,Retail,E-Commerce,2020-02-28,3
887,452,Developer,Project Manager,Technology,Healthcare,2019-10-11,14
888,452,Manager,Project Manager,Retail,Healthcare,2020-10-10,15
889,453,Teacher,Product Owner,Hospitality,Healthcare,2021-05-21,11
890,453,Nurse,N/A,Hospitality,Technology,2022-05-21,11
891,454,Nurse,Data Analyst,Education,Consulting,2016-01-09,6
892,455,Teacher,Data Analyst,N/A,E-Commerce,2016-09-16,12
893,455,Developer,Designer,Education,E-Commerce,2017-09-16,6
894,455,Manager,N/A,Healthcare,E-Commerce,2018-09-16,1
895,456,Cashier,Product Owner,Hospitality,Healthcare,2024-04-12,16
896,457,Teacher,N/A,Technology,Consulting,2020-04-13,2
897,457,Manager,Product Owner,Education,Finance,2021-04-13,17
898,457,Manager,Data Analyst,Education,E-Commerce,2022-04-13,3
899,458,Nurse,Project Manager,Healthcare,Consulting,2017-09-19,5
900,458,Cashier,Product Owner,Education,Consulting,2018-09-19,17
901,458,Teacher,Product Owner,Retail,Technology,2019-09-19,23
902,459,Nurse,Data Analyst,Hospitality,E-Commerce,2017-07-14,17
903,460,Nurse,Data Analyst,Education,Healthcare,2015-01-19,1
904,460,Developer,Data Analyst,Education,Consulting,2016-01-19,7
905,461,Manager,Project Manager,Healthcare,Consulting,2016-09-04,15
906,461,Teacher,Product Owner,Retail,Finance,2017-09-04,7
907,462,Teacher,Engineer,Education,Technology,2018-12-31,20
908,462,Teacher,Engineer,Hospitality,N/A,2019-12-31,22
909,462,Nurse,Product Owner,Hospitality,Consulting,2020-12-30,11
910,463,Developer,Product Owner,Education,Healthcare,2024-02-09,14
911,463,Cashier,Product Owner,Retail,Healthcare,2025-02-08,13
912,463,Nurse,Product Owner,Hospitality,Finance,2026-02-08,20
913,464,Cashier,Project Manager,Hospitality,N/A,2024-04-21,9
914,464,Developer,Engineer,Retail,Finance,2025-04-21,9
915,465,Manager,Designer,Retail,Healthcare,2017-11-16,6
916,465,Teacher,Engineer,Education,Healthcare,2018-11-16,18
917,466,Cashier,Engineer,Technology,Technology,2021-02-25,20
918,466,Nurse,Data Analyst,Healthcare,E-Commerce,2022-02-25,9
919,467,Cashier,Product Owner,N/A,E-Commerce,2019-01-06,6
920,467,Manager,N/A,Technology,Technology,2020-01-06,2
921,467,Teacher,Product Owner,N/A,E-Commerce,2021-01-05,15
922,468,Cashier,Data Analyst,Retail,Healthcare,2017-12-16,16
923,469,Manager,Project Manager,Hospitality,E-Commerce,2015-07-15,8
924,470,N/A,Project Manager,Healthcare,Healthcare,2024-05-11,10
925,470,Developer,Designer,Education,Technology,2025-05-11,18
926,471,Nurse,Project Manager,Healthcare,Finance,2018-05-09,9
927,471,Teacher,Project Manager,Hospitality,Technology,2019-05-09,24
928,472,Nurse,N/A,Hospitality,E-Commerce,2016-04-22,1
929,472,Nurse,Engineer,Hospitality,Healthcare,2017-04-22,4
930,472,Nurse,Project Manager,N/A,E-Commerce,2018-04-22,24
931,473,Nurse,Project Manager,Technology,E-Commerce,2021-07-31,10
932,473,Teacher,Data Analyst,Education,Finance,2022-07-31,12
933,473,Manager,Designer,Technology,E-Commerce,2023-07-31,18
934,474,Cashier,Data Analyst,Hospitality,Finance,2023-11-24,20
935,474,Developer,Product Owner,Retail,Healthcare,2024-11-23,6
936,474,Cashier,Engineer,Technology,Healthcare,2025-11-23,21
937,475,Cashier,Designer,Hospitality,Finance,2017-01-25,10
938,475,Developer,Data Analyst,Hospitality,Technology,2018-01-25,2
939,476,Teacher,Project Manager,Education,Healthcare,2021-12-29,9
940,476,Developer,Project Manager,Healthcare,Technology,2022-12-29,10
941,477,Teacher,Designer,Technology,Healthcare,2018-10-13,8
942,477,Cashier,Project Manager,Technology,Healthcare,2019-10-13,24
943,478,Teacher,Data Analyst,Technology,Consulting,2022-01-24,17
944,479,Manager,Data Analyst,Hospitality,E-Commerce,2015-02-26,4
945,480,Developer,Project Manager,Education,E-Commerce,2019-01-16,12
946,480,Manager,Project Manager,Hospitality,Technology,2020-01-16,17
947,481,Cashier,Product Owner,Hospitality,N/A,2024-02-22,19
948,482,Developer,Engineer,Retail,Technology,2024-08-13,14
949,482,Cashier,Designer,Education,Healthcare,2025-08-13,17
950,483,Manager,Data Analyst,Technology,Consulting,2016-06-18,8
951,483,Cashier,Designer,Healthcare,Consulting,2017-06-18,5
952,484,Developer,Product Owner,Technology,Healthcare,2023-02-23,7
953,484,Developer,Data Analyst,Hospitality,Finance,2024-02-23,22
954,484,Cashier,Product Owner,Education,Finance,2025-02-22,16
955,485,Developer,Product Owner,Education,E-Commerce,2019-03-06,22
956,486,Developer,Project Manager,Education,Technology,2021-06-21,7
957,486,Cashier,Designer,Retail,Consulting,2022-06-21,20
958,486,Manager,Designer,Technology,E-Commerce,2023-06-21,8
959,487,Developer,Project Manager,Retail,Healthcare,2015-03-20,11
960,487,Developer,N/A,Healthcare,Consulting,2016-03-19,15
961,487,Developer,Project Manager,Hospitality,Technology,2017-03-19,18
962,488,Developer,Data Analyst,Retail,N/A,2022-12-04,22
963,488,Cashier,Product Owner,Retail,Finance,2023-12-04,12
964,489,Manager,Product Owner,Hospitality,E-Commerce,2023-09-06,23
965,489,Manager,Designer,Education,Healthcare,2024-09-05,6
966,489,Teacher,Engineer,Hospitality,Consulting,2025-09-05,18
967,490,Developer,Product Owner,Technology,Technology,2020-03-18,20
968,490,Developer,Project Manager,Hospitality,Consulting,2021-03-18,9
969,490,Teacher,Engineer,Education,N/A,2022-03-18,8
970,491,Manager,Engineer,Hospitality,Consulting,2023-04-09,19
971,491,Nurse,Product Owner,Retail,E-Commerce,2024-04-08,19
972,492,Nurse,Product Owner,Healthcare,Finance,2022-04-16,4
973,492,Manager,Product Owner,Retail,Consulting,2023-04-16,6
974,493,Developer,N/A,Healthcare,Finance,2023-03-15,3
975,493,N/A,Engineer,N/A,Healthcare,2024-03-14,19
976,493,Cashier,Designer,Technology,Finance,2025-03-14,11
977,494,Cashier,Project Manager,Hospitality,Consulting,2018-02-18,10
978,495,Teacher,Data Analyst,Education,Consulting,2015-10-14,18
979,495,Manager,Product Owner,Hospitality,Technology,2016-10-13,24
980,496,Manager,Engineer,Healthcare,Consulting,2015-09-23,15
981,497,Nurse,Project Manager,Retail,Finance,2015-05-24,3
982,497,Developer,Data Analyst,Technology,Technology,2016-05-23,23
983,497,Manager,Project Manager,Hospitality,N/A,2017-05-23,11
984,498,Nurse,Project Manager,Hospitality,Consulting,2021-01-06,18
985,498,Nurse,Designer,Retail,Healthcare,2022-01-06,4
986,499,Manager,Designer,Technology,Technology,2017-03-15,6
987,500,Nurse,Project Manager,Hospitality,Healthcare,2016-05-17,21
988,500,Teacher,Data Analyst,Hospitality,Healthcare,2017-05-17,13
989,500,N/A,Engineer,Healthcare,Healthcare,2018-05-17,20
990,501,Manager,Engineer,Healthcare,E-Commerce,2019-05-16,20
991,502,Developer,N/A,Education,Healthcare,2016-09-11,13
992,502,Teacher,Product Owner,Retail,Finance,2017-09-11,14
993,503,Teacher,Engineer,Technology,Consulting,2015-11-09,24
994,504,Manager,Project Manager,Hospitality,E-Commerce,2023-01-23,19
995,504,Cashier,Project Manager,Hospitality,Healthcare,2024-01-23,1
996,504,Nurse,N/A,Education,Consulting,2025-01-22,22
997,505,Teacher,Designer,Hospitality,Technology,2015-02-24,18
998,505,Cashier,Product Owner,Retail,Technology,2016-02-24,19
999,506,Developer,Engineer,Education,Consulting,2022-10-09,23
1000,506,Cashier,Project Manager,Retail,Finance,2023-10-09,14
1001,506,Quality Inspector,Chef,Manufacturing,Hospitality,2024-10-08,9
1002,507,Chef,Software Developer,Hospitality,Technology,2016-12-10,8
1003,508,Assembly Line Worker,Sales Associate,Manufacturing,Retail,2022-05-18,23
1004,509,Teacher,Assembly Line Worker,Education,Manufacturing,2019-02-09,24
1005,509,Machine Operator,Hotel Manager,Manufacturing,Hospitality,2020-02-09,16
1006,509,Hotel Manager,Nurse,Hospitality,Healthcare,2021-02-08,10
1007,510,Software Developer,Assembly Line Worker,Technology,Manufacturing,2019-07-30,10
1008,511,Technology Support,Teacher,Technology,Education,2024-07-15,24
1009,512,Financial Analyst,Hotel Manager,Finance,Hospitality,2021-03-19,22
1010,512,Hotel Manager,Teacher,Hospitality,Education,2022-03-19,17
1011,513,Accountant,Hotel Manager,Finance,Hospitality,2015-06-21,16
1012,514,Technology Support,Pharmacist,Technology,Healthcare,2024-01-26,22
1013,514,Pharmacist,Hotel Manager,Healthcare,Hospitality,2025-01-25,14
1014,514,Chef,Librarian,Hospitality,Education,2026-01-25,4
1015,515,Quality Inspector,Receptionist,Manufacturing,Hospitality,2020-06-15,2
1016,515,Chef,Accountant,Hospitality,Finance,2021-06-15,11
1017,516,Receptionist,Software Developer,Hospitality,Technology,2016-10-09,4
1018,516,Technology Support,Librarian,Technology,Education,2017-10-09,21
1019,517,Librarian,Sales Associate,Education,Retail,2018-01-25,21
1020,518,Cashier,Teacher,Retail,Education,2018-09-08,4
1021,519,Data Analyst,Professor,Technology,Education,2022-10-21,24
1022,520,Nurse,Auditor,Healthcare,Finance,2015-02-09,2
1023,520,Auditor,Cashier,Finance,Retail,2016-02-09,9
1024,520,Cashier,Pharmacist,Retail,Healthcare,2017-02-08,23
1025,521,Financial Analyst,Cashier,Finance,Retail,2024-01-01,13
1026,522,Cashier,Hotel Manager,Retail,Hospitality,2021-04-26,16
1027,522,Receptionist,Medical Assistant,Hospitality,Healthcare,2022-04-26,16
1028,523,Quality Inspector,Accountant,Manufacturing,Finance,2016-05-17,10
1029,524,Receptionist,Financial Analyst,Hospitality,Finance,2016-11-15,11
1030,525,Librarian,Chef,Education,Hospitality,2024-12-08,4
1031,526,Professor,Hotel Manager,Education,Hospitality,2016-05-15,3
1032,526,Receptionist,Professor,Hospitality,Education,2017-05-15,6
1033,527,Cashier,Nurse,Retail,Healthcare,2019-07-04,9
1034,527,Pharmacist,Sales Associate,Healthcare,Retail,2020-07-03,3
1035,527,Sales Associate,Technology Support,Retail,Technology,2021-07-03,18
1036,528,Medical Assistant,Accountant,Healthcare,Finance,2020-03-03,8
1037,528,Financial Analyst,Chef,Finance,Hospitality,2021-03-03,15
1038,529,Receptionist,Software Developer,Hospitality,Technology,2021-02-26,7
1039,530,Software Developer,Machine Operator,Technology,Manufacturing,2019-06-01,8
1040,530,Quality Inspector,Medical Assistant,Manufacturing,Healthcare,2020-05-31,10
1041,530,Nurse,Accountant,Healthcare,Finance,2021-05-31,17
1042,531,Medical Assistant,Assembly Line Worker,Healthcare,Manufacturing,2021-03-07,13
1043,532,Hotel Manager,Technology Support,Hospitality,Technology,2022-02-24,13
1044,533,Nurse,Sales Associate,Healthcare,Retail,2023-01-15,9
1045,534,Sales Associate,Professor,Retail,Education,2017-05-30,6
1046,534,Teacher,Store Manager,Education,Retail,2018-05-30,5
1047,535,Store Manager,Financial Analyst,Retail,Finance,2021-09-23,11
1048,535,Auditor,Medical Assistant,Finance,Healthcare,2022-09-23,9
1049,536,Financial Analyst,Store Manager,Finance,Retail,2020-11-08,8
1050,536,Sales Associate,Financial Analyst,Retail,Finance,2021-11-08,9
1051,537,Assembly Line Worker,Accountant,Manufacturing,Finance,2020-10-03,8
1052,538,Assembly Line Worker,Hotel Manager,Manufacturing,Hospitality,2021-08-17,8
1053,538,Hotel Manager,Auditor,Hospitality,Finance,2022-08-17,3
1054,539,Software Developer,Store Manager,Technology,Retail,2016-12-14,19
1055,540,Hotel Manager,Assembly Line Worker,Hospitality,Manufacturing,2018-03-02,17
1056,540,Machine Operator,Teacher,Manufacturing,Education,2019-03-02,16
1057,541,Auditor,Technology Support,Finance,Technology,2022-09-19,14
1058,541,Data Analyst,Teacher,Technology,Education,2023-09-19,2
1059,542,Professor,Quality Inspector,Education,Manufacturing,2022-04-12,21
1060,543,Professor,Hotel Manager,Education,Hospitality,2023-06-25,15
1061,544,Chef,Nurse,Hospitality,Healthcare,2016-05-01,20
1062,545,Medical Assistant,Accountant,Healthcare,Finance,2019-01-08,7
1063,546,Financial Analyst,Professor,Finance,Education,2022-06-22,24
1064,546,Librarian,Assembly Line Worker,Education,Manufacturing,2023-06-22,11
1065,547,Data Analyst,Librarian,Technology,Education,2022-08-04,5
1066,547,Teacher,Store Manager,Education,Retail,2023-08-04,13
1067,548,Store Manager,Assembly Line Worker,Retail,Manufacturing,2016-12-23,2
1068,548,Assembly Line Worker,Software Developer,Manufacturing,Technology,2017-12-23,20
1069,549,Librarian,Nurse,Education,Healthcare,2023-07-11,24
1070,550,Accountant,Technology Support,Finance,Technology,2023-07-07,16
1071,551,Financial Analyst,Machine Operator,Finance,Manufacturing,2022-01-24,8
1072,551,Quality Inspector,Pharmacist,Manufacturing,Healthcare,2023-01-24,16
1073,552,Teacher,Machine Operator,Education,Manufacturing,2017-05-28,23
1074,553,Medical Assistant,Professor,Healthcare,Education,2022-03-29,4
1075,554,Medical Assistant,Sales Associate,Healthcare,Retail,2019-02-03,9
1076,554,Store Manager,Machine Operator,Retail,Manufacturing,2020-02-03,18
1077,555,Data Analyst,Medical Assistant,Technology,Healthcare,2024-12-11,8
1078,556,Auditor,Assembly Line Worker,Finance,Manufacturing,2021-01-11,15
1079,556,Machine Operator,Receptionist,Manufacturing,Hospitality,2022-01-11,9
1080,557,Pharmacist,Receptionist,Healthcare,Hospitality,2021-10-26,23
1081,558,Cashier,Machine Operator,Retail,Manufacturing,2016-10-24,6
1082,558,Assembly Line Worker,Auditor,Manufacturing,Finance,2017-10-24,5
1083,559,Hotel Manager,Technology Support,Hospitality,Technology,2017-04-15,2
1084,560,Hotel Manager,Librarian,Hospitality,Education,2021-11-01,10
1085,560,Professor,Technology Support,Education,Technology,2022-11-01,10
1086,561,Quality Inspector,Medical Assistant,Manufacturing,Healthcare,2021-06-29,12
1087,561,Medical Assistant,Cashier,Healthcare,Retail,2022-06-29,17
1088,562,Data Analyst,Pharmacist,Technology,Healthcare,2022-06-30,13
1089,562,Nurse,Auditor,Healthcare,Finance,2023-06-30,20
1090,562,Auditor,Software Developer,Finance,Technology,2024-06-29,16
1091,563,Hotel Manager,Cashier,Hospitality,Retail,2024-04-02,21
1092,563,Sales Associate,Assembly Line Worker,Retail,Manufacturing,2025-04-02,2
1093,564,Receptionist,Nurse,Hospitality,Healthcare,2018-09-21,23
1094,564,Nurse,Financial Analyst,Healthcare,Finance,2019-09-21,7
1095,565,Nurse,Cashier,Healthcare,Retail,2015-06-06,1
1096,565,Store Manager,Medical Assistant,Retail,Healthcare,2016-06-05,12
1097,566,Pharmacist,Sales Associate,Healthcare,Retail,2021-05-02,12
1098,567,Quality Inspector,Hotel Manager,Manufacturing,Hospitality,2021-03-08,9
1099,567,Receptionist,Pharmacist,Hospitality,Healthcare,2022-03-08,10
1100,567,Nurse,Hotel Manager,Healthcare,Hospitality,2023-03-08,17
1101,568,Auditor,Receptionist,Finance,Hospitality,2023-05-31,8
1102,568,Chef,Medical Assistant,Hospitality,Healthcare,2024-05-30,7
1103,569,Technology Support,Chef,Technology,Hospitality,2018-07-13,10
1104,570,Hotel Manager,Nurse,Hospitality,Healthcare,2022-10-21,15
1105,570,Nurse,Sales Associate,Healthcare,Retail,2023-10-21,4
1106,570,Store Manager,Quality Inspector,Retail,Manufacturing,2024-10-20,4
1107,571,Receptionist,Pharmacist,Hospitality,Healthcare,2016-09-03,1
1108,571,Nurse,Teacher,Healthcare,Education,2017-09-03,12
1109,571,Librarian,Assembly Line Worker,Education,Manufacturing,2018-09-03,2
1110,572,Assembly Line Worker,Data Analyst,Manufacturing,Technology,2018-04-30,17
1111,572,Data Analyst,Hotel Manager,Technology,Hospitality,2019-04-30,7
1112,572,Receptionist,Pharmacist,Hospitality,Healthcare,2020-04-29,6
1113,573,Teacher,Hotel Manager,Education,Hospitality,2024-04-06,1
1114,573,Hotel Manager,Sales Associate,Hospitality,Retail,2025-04-06,21
1115,573,Sales Associate,Chef,Retail,Hospitality,2026-04-06,14
1116,574,Sales Associate,Nurse,Retail,Healthcare,2023-12-05,1
1117,575,Quality Inspector,Nurse,Manufacturing,Healthcare,2023-02-17,21
1118,576,Technology Support,Store Manager,Technology,Retail,2019-11-16,5
1119,576,Store Manager,Librarian,Retail,Education,2020-11-15,2
1120,577,Sales Associate,Medical Assistant,Retail,Healthcare,2015-10-17,21
1121,578,Receptionist,Professor,Hospitality,Education,2017-10-27,5
1122,578,Librarian,Pharmacist,Education,Healthcare,2018-10-27,9
1123,578,Pharmacist,Store Manager,Healthcare,Retail,2019-10-27,19
1124,579,Technology Support,Teacher,Technology,Education,2017-05-18,15
1125,580,Cashier,Medical Assistant,Retail,Healthcare,2018-09-12,12
1126,581,Financial Analyst,Chef,Finance,Hospitality,2019-11-29,2
1127,582,Machine Operator,Hotel Manager,Manufacturing,Hospitality,2021-06-24,4
1128,582,Hotel Manager,Professor,Hospitality,Education,2022-06-24,18
1129,582,Librarian,Store Manager,Education,Retail,2023-06-24,21
1130,583,Medical Assistant,Quality Inspector,Healthcare,Manufacturing,2016-03-03,13
1131,583,Assembly Line Worker,Pharmacist,Manufacturing,Healthcare,2017-03-03,12
1132,584,Data Analyst,Chef,Technology,Hospitality,2020-02-20,15
1133,584,Chef,Financial Analyst,Hospitality,Finance,2021-02-19,14
1134,585,Quality Inspector,Software Developer,Manufacturing,Technology,2020-01-21,10
1135,586,Teacher,Hotel Manager,Education,Hospitality,2021-08-26,8
1136,586,Chef,Pharmacist,Hospitality,Healthcare,2022-08-26,15
1137,587,Data Analyst,Pharmacist,Technology,Healthcare,2021-06-27,8
1138,588,Hotel Manager,Professor,Hospitality,Education,2017-12-29,21
1139,589,Accountant,Cashier,Finance,Retail,2023-05-30,14
1140,589,Store Manager,Professor,Retail,Education,2024-05-29,1
1141,590,Auditor,Nurse,Finance,Healthcare,2022-03-21,8
1142,591,Professor,Store Manager,Education,Retail,2018-06-26,22
1143,591,Cashier,Medical Assistant,Retail,Healthcare,2019-06-26,9
1144,592,Receptionist,Sales Associate,Hospitality,Retail,2018-09-19,3
1145,593,Teacher,Nurse,Education,Healthcare,2015-01-06,10
1146,593,Medical Assistant,Receptionist,Healthcare,Hospitality,2016-01-06,5
1147,594,Pharmacist,Receptionist,Healthcare,Hospitality,2020-01-19,6
1148,594,Chef,Assembly Line Worker,Hospitality,Manufacturing,2021-01-18,8
1149,594,Assembly Line Worker,Medical Assistant,Manufacturing,Healthcare,2022-01-18,24
1150,595,Machine Operator,Medical Assistant,Manufacturing,Healthcare,2016-11-17,21
1151,595,Nurse,Store Manager,Healthcare,Retail,2017-11-17,18
1152,595,Cashier,Hotel Manager,Retail,Hospitality,2018-11-17,14
1153,596,Medical Assistant,Data Analyst,Healthcare,Technology,2016-03-21,10
1154,596,Technology Support,Auditor,Technology,Finance,2017-03-21,21
1155,596,Financial Analyst,Store Manager,Finance,Retail,2018-03-21,12
1156,597,Machine Operator,Data Analyst,Manufacturing,Technology,2022-10-11,7
1157,597,Technology Support,Hotel Manager,Technology,Hospitality,2023-10-11,11
1158,597,Chef,Medical Assistant,Hospitality,Healthcare,2024-10-10,13
1159,598,Nurse,Sales Associate,Healthcare,Retail,2022-01-29,18
1160,598,Store Manager,Professor,Retail,Education,2023-01-29,7
1161,598,Librarian,Cashier,Education,Retail,2024-01-29,6
1162,599,Sales Associate,Teacher,Retail,Education,2016-08-24,11
1163,599,Librarian,Hotel Manager,Education,Hospitality,2017-08-24,8
1164,599,Hotel Manager,Sales Associate,Hospitality,Retail,2018-08-24,20
1165,600,Pharmacist,Accountant,Healthcare,Finance,2020-01-27,8
