barrier_id,person_id,transition_id,barrier_type,barrier_text,severity_score
444,821,1610,Age-related bias,Concerned about competing with younger talent.,4
445,821,1610,Time limitations,Couldn't attend classes due to long work hours.,1
446,1404,2777,Time limitations,Transition delayed due to lack of free time.,4
447,1494,2964,Lack of education,Missing degree was a major hurdle.,3
448,1494,2964,Time limitations,Balancing a full-time job left no time for study.,2
449,33,76,Financial constraints,Cost of certification programs was too high.,5
450,33,76,Lack of education,Felt underqualified without a diploma in the new field.,3
451,850,1668,Lack of experience,Struggled to get interviews without domain experience.,1
452,850,1668,Financial constraints,Lost income made it hard to switch careers.,5
453,91,190,Fear of failure,Scared to leave a stable job for uncertainty.,5
454,1254,2488,Family responsibilities,Couldn't attend evening courses due to childcare.,1
455,297,593,Family responsibilities,Couldn't attend evening courses due to childcare.,5
456,899,1766,No support system,No one to discuss career options with.,2
457,267,537,Time limitations,Couldn't attend classes due to long work hours.,3
458,267,537,No support system,Felt isolated during the transition process.,1
459,217,441,Lack of experience,Rejected due to limited experience in tech.,5
460,400,791,Financial constraints,Lost income made it hard to switch careers.,4
461,712,1388,Lack of experience,Struggled to get interviews without domain experience.,4
462,430,848,Time limitations,Transition delayed due to lack of free time.,2
463,345,690,Time limitations,Balancing a full-time job left no time for study.,2
464,1155,2295,Lack of education,Missing degree was a major hurdle.,5
465,1155,2295,No support system,Felt isolated during the transition process.,5
466,578,1123,Lack of education,Didn't meet the education criteria for the new role.,3
467,578,1123,No support system,Felt isolated during the transition process.,1
468,756,1477,Lack of experience,Didn't meet job requirements in new field.,2
469,1480,2934,Mental health issues,Anxiety affected my ability to commit to change.,4
470,1480,2934,Family responsibilities,Family obligations delayed career transition.,3
471,694,1354,Lack of education,Felt underqualified without a diploma in the new field.,1
472,694,1354,Fear of failure,Fear of starting over held me back.,5
473,224,454,Age-related bias,Concerned about competing with younger talent.,3
474,49,101,Age-related bias,Felt overlooked due to being older than peers.,4
475,49,101,Lack of experience,Didn't meet job requirements in new field.,1
476,1078,2144,No support system,Lacked mentorship or guidance in new field.,2
477,1078,2144,Age-related bias,Felt overlooked due to being older than peers.,2
478,642,1249,Lack of education,Missing degree was a major hurdle.,2
479,642,1249,Family responsibilities,Hard to relocate or change jobs with family needs.,3
480,393,778,Lack of education,Felt underqualified without a diploma in the new field.,2
481,1207,2393,Family responsibilities,Family obligations delayed career transition.,5
482,1207,2393,Lack of experience,Struggled to get interviews without domain experience.,3
483,681,1329,Age-related bias,Hiring managers assumed I couldn't adapt.,1
484,681,1329,Family responsibilities,Couldn't attend evening courses due to childcare.,2
485,794,1557,Lack of experience,Struggled to get interviews without domain experience.,3
486,1143,2268,Time limitations,Couldn't attend classes due to long work hours.,4
487,923,1817,Lack of education,Missing degree was a major hurdle.,5
488,1441,2853,Financial constraints,Cost of certification programs was too high.,3
489,771,1510,Lack of education,Didn't meet the education criteria for the new role.,2
490,771,1510,Mental health issues,Anxiety affected my ability to commit to change.,1
491,847,1660,Mental health issues,Burnout made it hard to explore options.,2
492,847,1660,Fear of failure,Scared to leave a stable job for uncertainty.,1
493,1132,2252,Lack of experience,Struggled to get interviews without domain experience.,5
494,1132,2252,Age-related bias,Hiring managers assumed I couldn't adapt.,2
495,539,1054,Mental health issues,Depression impacted confidence to pursue a new career.,4
496,539,1054,Financial constraints,Lost income made it hard to switch careers.,3
497,196,391,Mental health issues,Depression impacted confidence to pursue a new career.,1
498,1250,2480,Time limitations,Couldn't attend classes due to long work hours.,3
499,737,1438,Age-related bias,Concerned about competing with younger talent.,2
500,737,1438,Time limitations,Transition delayed due to lack of free time.,5
501,587,1137,Age-related bias,Hiring managers assumed I couldn't adapt.,1
502,587,1137,Lack of experience,Didn't meet job requirements in new field.,3
503,1305,2585,Age-related bias,Concerned about competing with younger talent.,1
504,1305,2585,Financial constraints,Lost income made it hard to switch careers.,1
505,1080,2148,Age-related bias,Felt overlooked due to being older than peers.,2
506,219,444,Family responsibilities,Hard to relocate or change jobs with family needs.,5
507,1391,2750,Lack of experience,Didn't meet job requirements in new field.,1
508,1391,2750,Mental health issues,Burnout made it hard to explore options.,5
509,553,1074,Time limitations,Transition delayed due to lack of free time.,2
510,553,1074,Lack of education,Felt underqualified without a diploma in the new field.,5
511,62,130,Family responsibilities,Couldn't attend evening courses due to childcare.,4
512,62,130,Fear of failure,Scared to leave a stable job for uncertainty.,1
513,415,813,Financial constraints,Cost of certification programs was too high.,3
514,586,1135,Family responsibilities,Hard to relocate or change jobs with family needs.,5
515,1026,2045,Lack of experience,Struggled to get interviews without domain experience.,5
516,1026,2045,Age-related bias,Hiring managers assumed I couldn't adapt.,5
517,169,340,Family responsibilities,Hard to relocate or change jobs with family needs.,4
518,405,798,No support system,Felt isolated during the transition process.,4
519,405,798,Lack of education,Felt underqualified without a diploma in the new field.,5
520,893,1760,Mental health issues,Anxiety affected my ability to commit to change.,1
521,893,1760,Lack of experience,Didn't meet job requirements in new field.,3
522,925,1822,No support system,Felt isolated during the transition process.,1
523,925,1822,Time limitations,Balancing a full-time job left no time for study.,4
524,1380,2728,Mental health issues,Depression impacted confidence to pursue a new career.,4
525,1380,2728,Lack of experience,Didn't meet job requirements in new field.,4
526,316,631,Fear of failure,Worried about not succeeding in a new industry.,5
527,1087,2159,Fear of failure,Worried about not succeeding in a new industry.,4
528,1087,2159,Lack of education,Didn't meet the education criteria for the new role.,3
529,591,1142,Lack of education,Missing degree was a major hurdle.,1
530,1266,2516,Lack of experience,Didn't meet job requirements in new field.,2
531,1266,2516,Age-related bias,Concerned about competing with younger talent.,2
532,277,558,Lack of education,Felt underqualified without a diploma in the new field.,5
533,50,103,Lack of experience,Rejected due to limited experience in tech.,5
534,1193,2365,Mental health issues,Burnout made it hard to explore options.,4
535,1193,2365,No support system,Lacked mentorship or guidance in new field.,2
536,557,1080,Mental health issues,Burnout made it hard to explore options.,4
537,1096,2181,Financial constraints,Lost income made it hard to switch careers.,4
538,855,1677,Age-related bias,Concerned about competing with younger talent.,3
539,855,1677,Family responsibilities,Hard to relocate or change jobs with family needs.,5
540,624,1213,Financial constraints,Lost income made it hard to switch careers.,2
541,1189,2358,Lack of education,Felt underqualified without a diploma in the new field.,2
542,1116,2219,Age-related bias,Hiring managers assumed I couldn't adapt.,3
543,705,1375,Time limitations,Couldn't attend classes due to long work hours.,2
544,705,1375,Lack of education,Felt underqualified without a diploma in the new field.,4
545,420,828,Lack of education,Felt underqualified without a diploma in the new field.,1
546,857,1681,Lack of education,Didn't meet the education criteria for the new role.,3
547,1422,2815,Time limitations,Transition delayed due to lack of free time.,3
548,1422,2815,No support system,Felt isolated during the transition process.,1
549,396,784,Family responsibilities,Hard to relocate or change jobs with family needs.,2
550,396,784,Age-related bias,Hiring managers assumed I couldn't adapt.,1
551,1014,2014,Fear of failure,Fear of starting over held me back.,2
552,1014,2014,Lack of education,Felt underqualified without a diploma in the new field.,2
553,253,511,Lack of education,Didn't meet the education criteria for the new role.,1
554,253,511,Time limitations,Couldn't attend classes due to long work hours.,2
555,724,1411,Family responsibilities,Couldn't attend evening courses due to childcare.,3
556,724,1411,Age-related bias,Concerned about competing with younger talent.,2
557,631,1228,Fear of failure,Scared to leave a stable job for uncertainty.,2
558,631,1228,Age-related bias,Felt overlooked due to being older than peers.,3
559,1050,2089,Financial constraints,Cost of certification programs was too high.,5
560,325,649,No support system,Lacked mentorship or guidance in new field.,4
561,325,649,Financial constraints,Cost of certification programs was too high.,2
562,957,1893,Family responsibilities,Family obligations delayed career transition.,5
563,957,1893,Age-related bias,Felt overlooked due to being older than peers.,5
564,521,1025,Family responsibilities,Hard to relocate or change jobs with family needs.,5
565,433,855,Time limitations,Couldn't attend classes due to long work hours.,5
566,433,855,Financial constraints,Lost income made it hard to switch careers.,4
567,377,751,Lack of experience,Didn't meet job requirements in new field.,1
568,1115,2218,Mental health issues,Burnout made it hard to explore options.,2
569,1115,2218,Lack of education,Didn't meet the education criteria for the new role.,2
570,584,1133,Mental health issues,Burnout made it hard to explore options.,1
571,960,1898,Mental health issues,Burnout made it hard to explore options.,4
572,960,1898,Fear of failure,Worried about not succeeding in a new industry.,4
573,1052,2092,No support system,Felt isolated during the transition process.,4
574,1052,2092,Age-related bias,Felt overlooked due to being older than peers.,2
575,126,260,Lack of education,Missing degree was a major hurdle.,3
576,126,260,Time limitations,Couldn't attend classes due to long work hours.,5
577,249,503,Financial constraints,Cost of certification programs was too high.,5
578,1174,2330,Lack of education,Felt underqualified without a diploma in the new field.,2
579,16,36,Fear of failure,Scared to leave a stable job for uncertainty.,2
580,176,353,Lack of education,Missing degree was a major hurdle.,2
581,251,507,Financial constraints,Lost income made it hard to switch careers.,1
582,1493,2962,No support system,No one to discuss career options with.,5
583,1030,2051,Age-related bias,Concerned about competing with younger talent.,4
584,30,69,Lack of education,Missing degree was a major hurdle.,4
585,116,243,Lack of education,Missing degree was a major hurdle.,4
586,116,243,Mental health issues,Depression impacted confidence to pursue a new career.,1
587,683,1331,Age-related bias,Felt overlooked due to being older than peers.,1
588,80,165,Family responsibilities,Family obligations delayed career transition.,3
589,170,341,Fear of failure,Fear of starting over held me back.,2
590,170,341,No support system,No one to discuss career options with.,2
591,337,674,No support system,Felt isolated during the transition process.,4
592,1041,2074,Time limitations,Couldn't attend classes due to long work hours.,5
593,1041,2074,Family responsibilities,Hard to relocate or change jobs with family needs.,3
594,1370,2706,Age-related bias,Concerned about competing with younger talent.,3
595,1370,2706,Lack of experience,Rejected due to limited experience in tech.,4
596,736,1437,No support system,No one to discuss career options with.,4
597,736,1437,Family responsibilities,Hard to relocate or change jobs with family needs.,5
598,4,10,Time limitations,Transition delayed due to lack of free time.,3
599,4,10,Lack of education,Missing degree was a major hurdle.,1
600,183,368,Family responsibilities,Family obligations delayed career transition.,2
601,183,368,Time limitations,Couldn't attend classes due to long work hours.,1
602,1383,2735,Financial constraints,Couldn't afford tuition fees for reskilling.,1
603,1233,2450,Age-related bias,Hiring managers assumed I couldn't adapt.,4
604,233,474,Financial constraints,Couldn't afford tuition fees for reskilling.,4
605,233,474,Time limitations,Couldn't attend classes due to long work hours.,4
606,1229,2443,Fear of failure,Fear of starting over held me back.,1
607,1229,2443,Lack of experience,Didn't meet job requirements in new field.,1
608,1435,2841,Lack of education,Missing degree was a major hurdle.,2
609,1470,2910,Age-related bias,Felt overlooked due to being older than peers.,5
610,457,896,Family responsibilities,Couldn't attend evening courses due to childcare.,5
611,457,896,Financial constraints,Cost of certification programs was too high.,5
612,1107,2201,Family responsibilities,Family obligations delayed career transition.,5
613,1107,2201,Lack of education,Missing degree was a major hurdle.,3
614,909,1790,Time limitations,Transition delayed due to lack of free time.,3
615,909,1790,Age-related bias,Concerned about competing with younger talent.,5
616,695,1357,Mental health issues,Burnout made it hard to explore options.,5
617,695,1357,Age-related bias,Hiring managers assumed I couldn't adapt.,5
618,1408,2786,Financial constraints,Couldn't afford tuition fees for reskilling.,3
619,1408,2786,Age-related bias,Concerned about competing with younger talent.,5
620,235,480,No support system,No one to discuss career options with.,4
621,235,480,Financial constraints,Cost of certification programs was too high.,5
622,417,820,Mental health issues,Depression impacted confidence to pursue a new career.,4
623,417,820,Lack of education,Didn't meet the education criteria for the new role.,5
624,868,1709,Lack of experience,Didn't meet job requirements in new field.,3
625,868,1709,Lack of education,Felt underqualified without a diploma in the new field.,5
626,1089,2165,Financial constraints,Cost of certification programs was too high.,1
627,1089,2165,Time limitations,Couldn't attend classes due to long work hours.,3
628,884,1743,Family responsibilities,Family obligations delayed career transition.,4
629,884,1743,Time limitations,Balancing a full-time job left no time for study.,3
630,67,135,Age-related bias,Hiring managers assumed I couldn't adapt.,1
631,67,135,Fear of failure,Fear of starting over held me back.,3
632,639,1244,Fear of failure,Fear of starting over held me back.,2
633,639,1244,No support system,Felt isolated during the transition process.,1
634,1118,2221,Lack of education,Felt underqualified without a diploma in the new field.,2
635,1084,2155,Mental health issues,Anxiety affected my ability to commit to change.,5
636,1084,2155,Lack of experience,Rejected due to limited experience in tech.,1
637,1390,2749,Financial constraints,Lost income made it hard to switch careers.,2
638,1376,2719,Financial constraints,Lost income made it hard to switch careers.,4
639,1376,2719,Fear of failure,Fear of starting over held me back.,4
640,940,1852,Mental health issues,Depression impacted confidence to pursue a new career.,1
641,68,140,Family responsibilities,Couldn't attend evening courses due to childcare.,5
642,1478,2928,Age-related bias,Felt overlooked due to being older than peers.,4
643,1478,2928,Financial constraints,Cost of certification programs was too high.,5
644,1413,2801,Age-related bias,Hiring managers assumed I couldn't adapt.,3
645,1413,2801,Lack of experience,Rejected due to limited experience in tech.,3
646,749,1464,Fear of failure,Worried about not succeeding in a new industry.,4
647,1314,2601,No support system,No one to discuss career options with.,4
648,9,20,Financial constraints,Cost of certification programs was too high.,1
649,549,1069,Family responsibilities,Hard to relocate or change jobs with family needs.,3
650,549,1069,Mental health issues,Burnout made it hard to explore options.,5
651,646,1256,No support system,Felt isolated during the transition process.,3
652,646,1256,Lack of experience,Didn't meet job requirements in new field.,3
653,1246,2473,Lack of education,Didn't meet the education criteria for the new role.,1
654,1205,2388,No support system,No one to discuss career options with.,4
655,1205,2388,Fear of failure,Fear of starting over held me back.,5
656,231,468,Family responsibilities,Family obligations delayed career transition.,2
657,144,293,Age-related bias,Concerned about competing with younger talent.,4
658,799,1569,Family responsibilities,Couldn't attend evening courses due to childcare.,4
659,1471,2911,Financial constraints,Couldn't afford tuition fees for reskilling.,1
660,1471,2911,Fear of failure,Worried about not succeeding in a new industry.,3
661,1154,2292,Family responsibilities,Hard to relocate or change jobs with family needs.,4
662,95,201,Age-related bias,Hiring managers assumed I couldn't adapt.,5
663,955,1889,Financial constraints,Cost of certification programs was too high.,5
664,955,1889,Lack of experience,Struggled to get interviews without domain experience.,5
665,1296,2566,Mental health issues,Burnout made it hard to explore options.,4
666,1296,2566,Financial constraints,Couldn't afford tuition fees for reskilling.,2
667,61,129,Financial constraints,Lost income made it hard to switch careers.,2
668,61,129,Lack of education,Didn't meet the education criteria for the new role.,4
669,687,1338,Mental health issues,Burnout made it hard to explore options.,5
670,687,1338,No support system,No one to discuss career options with.,4
671,20,42,Time limitations,Balancing a full-time job left no time for study.,3
672,20,42,Age-related bias,Concerned about competing with younger talent.,3
673,599,1162,No support system,Lacked mentorship or guidance in new field.,4
674,599,1162,Financial constraints,Couldn't afford tuition fees for reskilling.,3
675,700,1365,Financial constraints,Cost of certification programs was too high.,1
676,84,175,Family responsibilities,Family obligations delayed career transition.,5
677,1164,2310,Lack of experience,Rejected due to limited experience in tech.,5
678,686,1335,Lack of experience,Didn't meet job requirements in new field.,4
679,1321,2617,Fear of failure,Fear of starting over held me back.,4
680,1088,2162,Financial constraints,Lost income made it hard to switch careers.,4
681,1088,2162,Mental health issues,Anxiety affected my ability to commit to change.,3
682,1130,2248,Age-related bias,Concerned about competing with younger talent.,2
683,1130,2248,Mental health issues,Burnout made it hard to explore options.,2
684,859,1685,Lack of education,Didn't meet the education criteria for the new role.,3
685,1109,2206,Lack of education,Missing degree was a major hurdle.,5
686,1109,2206,Age-related bias,Hiring managers assumed I couldn't adapt.,5
687,844,1655,Lack of education,Felt underqualified without a diploma in the new field.,1
688,844,1655,No support system,Lacked mentorship or guidance in new field.,1
689,845,1656,Lack of experience,Didn't meet job requirements in new field.,3
690,132,272,Lack of experience,Didn't meet job requirements in new field.,3
691,991,1963,No support system,No one to discuss career options with.,3
692,991,1963,Mental health issues,Burnout made it hard to explore options.,4
693,1032,2056,Fear of failure,Scared to leave a stable job for uncertainty.,3
694,1119,2222,Time limitations,Couldn't attend classes due to long work hours.,4
695,1119,2222,Mental health issues,Depression impacted confidence to pursue a new career.,2
696,657,1278,No support system,No one to discuss career options with.,1
697,657,1278,Lack of education,Didn't meet the education criteria for the new role.,2
698,404,797,No support system,No one to discuss career options with.,5
699,1400,2770,No support system,Lacked mentorship or guidance in new field.,3
700,1400,2770,Lack of experience,Didn't meet job requirements in new field.,2
701,1455,2882,Fear of failure,Fear of starting over held me back.,4
702,720,1404,Time limitations,Couldn't attend classes due to long work hours.,1
703,720,1404,Family responsibilities,Couldn't attend evening courses due to childcare.,1
704,320,641,Mental health issues,Burnout made it hard to explore options.,2
705,320,641,Time limitations,Transition delayed due to lack of free time.,3
706,395,783,Age-related bias,Felt overlooked due to being older than peers.,2
707,395,783,Family responsibilities,Couldn't attend evening courses due to childcare.,2
708,437,864,Age-related bias,Hiring managers assumed I couldn't adapt.,2
709,437,864,Mental health issues,Burnout made it hard to explore options.,1
710,1244,2469,Mental health issues,Depression impacted confidence to pursue a new career.,4
711,1244,2469,Age-related bias,Felt overlooked due to being older than peers.,1
712,1468,2904,Mental health issues,Burnout made it hard to explore options.,2
713,730,1425,Lack of experience,Didn't meet job requirements in new field.,5
714,730,1425,Family responsibilities,Hard to relocate or change jobs with family needs.,5
715,743,1454,Lack of education,Missing degree was a major hurdle.,2
716,1101,2189,Family responsibilities,Hard to relocate or change jobs with family needs.,4
717,1476,2924,Family responsibilities,Family obligations delayed career transition.,2
718,1476,2924,Mental health issues,Burnout made it hard to explore options.,1
719,1291,2559,Time limitations,Balancing a full-time job left no time for study.,5
720,1291,2559,No support system,No one to discuss career options with.,2
721,137,281,Fear of failure,Fear of starting over held me back.,4
722,356,711,Fear of failure,Scared to leave a stable job for uncertainty.,2
723,230,466,No support system,Lacked mentorship or guidance in new field.,1
724,230,466,Age-related bias,Felt overlooked due to being older than peers.,3
725,1099,2186,Family responsibilities,Family obligations delayed career transition.,3
726,273,552,Time limitations,Transition delayed due to lack of free time.,5
727,1417,2807,Family responsibilities,Couldn't attend evening courses due to childcare.,1
728,1394,2758,Fear of failure,Worried about not succeeding in a new industry.,2
729,1375,2718,Lack of education,Felt underqualified without a diploma in the new field.,4
730,1304,2584,Family responsibilities,Couldn't attend evening courses due to childcare.,1
731,1304,2584,Age-related bias,Felt overlooked due to being older than peers.,3
732,652,1267,Mental health issues,Depression impacted confidence to pursue a new career.,4
733,652,1267,Time limitations,Balancing a full-time job left no time for study.,4
734,796,1562,Fear of failure,Scared to leave a stable job for uncertainty.,1
735,796,1562,Age-related bias,Concerned about competing with younger talent.,4
736,72,146,Financial constraints,Cost of certification programs was too high.,2
737,995,1972,Mental health issues,Burnout made it hard to explore options.,4
738,1158,2300,No support system,Felt isolated during the transition process.,4
739,1158,2300,Financial constraints,Lost income made it hard to switch careers.,4
740,1156,2297,Financial constraints,Couldn't afford tuition fees for reskilling.,1
741,1156,2297,Lack of experience,Rejected due to limited experience in tech.,4
742,750,1466,Time limitations,Couldn't attend classes due to long work hours.,5
743,69,141,No support system,Felt isolated during the transition process.,5
744,69,141,Mental health issues,Burnout made it hard to explore options.,1
745,950,1877,Age-related bias,Felt overlooked due to being older than peers.,5
746,950,1877,Lack of education,Missing degree was a major hurdle.,2
747,118,246,Lack of experience,Didn't meet job requirements in new field.,5
748,118,246,Age-related bias,Hiring managers assumed I couldn't adapt.,3
749,596,1154,No support system,Felt isolated during the transition process.,5
750,728,1423,Age-related bias,Felt overlooked due to being older than peers.,5
751,1141,2265,Lack of education,Felt underqualified without a diploma in the new field.,3
752,1141,2265,Mental health issues,Burnout made it hard to explore options.,1
753,303,607,Mental health issues,Anxiety affected my ability to commit to change.,3
754,303,607,Lack of experience,Didn't meet job requirements in new field.,2
755,86,178,Time limitations,Transition delayed due to lack of free time.,4
756,1098,2184,Time limitations,Transition delayed due to lack of free time.,1
757,1098,2184,Family responsibilities,Hard to relocate or change jobs with family needs.,2
758,678,1324,Age-related bias,Hiring managers assumed I couldn't adapt.,1
759,147,298,Family responsibilities,Family obligations delayed career transition.,1
760,147,298,Age-related bias,Hiring managers assumed I couldn't adapt.,1
761,560,1085,No support system,No one to discuss career options with.,5
762,797,1565,Fear of failure,Fear of starting over held me back.,3
763,797,1565,Lack of education,Missing degree was a major hurdle.,5
764,281,568,Lack of education,Missing degree was a major hurdle.,4
765,1378,2725,Fear of failure,Fear of starting over held me back.,3
766,1373,2711,Time limitations,Transition delayed due to lack of free time.,2
767,1373,2711,Lack of experience,Struggled to get interviews without domain experience.,2
768,1170,2323,Time limitations,Balancing a full-time job left no time for study.,3
769,346,693,Financial constraints,Couldn't afford tuition fees for reskilling.,5
770,414,812,Mental health issues,Burnout made it hard to explore options.,2
771,414,812,Lack of education,Felt underqualified without a diploma in the new field.,3
772,886,1747,Mental health issues,Anxiety affected my ability to commit to change.,1
773,886,1747,Financial constraints,Cost of certification programs was too high.,2
774,869,1710,Financial constraints,Lost income made it hard to switch careers.,3
775,452,887,Age-related bias,Felt overlooked due to being older than peers.,4
776,452,887,Fear of failure,Fear of starting over held me back.,2
777,610,1184,Age-related bias,Concerned about competing with younger talent.,2
778,610,1184,Mental health issues,Burnout made it hard to explore options.,5
779,569,1103,Financial constraints,Couldn't afford tuition fees for reskilling.,5
780,134,275,Lack of education,Didn't meet the education criteria for the new role.,3
781,1173,2327,Fear of failure,Fear of starting over held me back.,5
782,1173,2327,Time limitations,Balancing a full-time job left no time for study.,3
783,554,1076,Lack of experience,Struggled to get interviews without domain experience.,5
784,336,671,No support system,No one to discuss career options with.,2
785,202,406,Time limitations,Couldn't attend classes due to long work hours.,3
786,966,1911,Mental health issues,Burnout made it hard to explore options.,2
787,88,184,Time limitations,Couldn't attend classes due to long work hours.,3
788,88,184,No support system,Felt isolated during the transition process.,2
789,563,1091,Lack of education,Didn't meet the education criteria for the new role.,4
790,263,531,Fear of failure,Fear of starting over held me back.,1
791,666,1299,Time limitations,Balancing a full-time job left no time for study.,2
792,1484,2943,Mental health issues,Burnout made it hard to explore options.,3
793,621,1208,Fear of failure,Fear of starting over held me back.,4
794,351,701,Age-related bias,Felt overlooked due to being older than peers.,2
795,744,1455,Time limitations,Balancing a full-time job left no time for study.,3
796,744,1455,Fear of failure,Scared to leave a stable job for uncertainty.,5
797,443,872,Family responsibilities,Couldn't attend evening courses due to childcare.,4
798,1238,2460,Lack of education,Felt underqualified without a diploma in the new field.,3
799,1238,2460,Lack of experience,Struggled to get interviews without domain experience.,5
800,1140,2264,No support system,Lacked mentorship or guidance in new field.,5
801,1123,2229,Age-related bias,Felt overlooked due to being older than peers.,4
802,1123,2229,Fear of failure,Worried about not succeeding in a new industry.,3
803,524,1029,Age-related bias,Concerned about competing with younger talent.,5
804,524,1029,Fear of failure,Fear of starting over held me back.,4
805,37,82,Age-related bias,Concerned about competing with younger talent.,5
806,879,1732,Time limitations,Balancing a full-time job left no time for study.,1
807,879,1732,Financial constraints,Cost of certification programs was too high.,4
808,1430,2832,Age-related bias,Hiring managers assumed I couldn't adapt.,1
809,1449,2869,Time limitations,Couldn't attend classes due to long work hours.,4
810,1449,2869,Age-related bias,Hiring managers assumed I couldn't adapt.,3
811,1415,2804,Lack of experience,Rejected due to limited experience in tech.,4
812,94,199,Time limitations,Transition delayed due to lack of free time.,1
813,1298,2571,Lack of experience,Rejected due to limited experience in tech.,5
814,1298,2571,Family responsibilities,Couldn't attend evening courses due to childcare.,1
815,1295,2565,Lack of education,Missing degree was a major hurdle.,3
816,1427,2824,Time limitations,Transition delayed due to lack of free time.,4
817,1427,2824,Fear of failure,Scared to leave a stable job for uncertainty.,5
818,810,1591,Time limitations,Transition delayed due to lack of free time.,1
819,1336,2641,Financial constraints,Cost of certification programs was too high.,3
820,1336,2641,No support system,Felt isolated during the transition process.,3
821,770,1507,Lack of education,Felt underqualified without a diploma in the new field.,3
822,1273,2528,No support system,No one to discuss career options with.,2
823,1190,2360,Lack of education,Felt underqualified without a diploma in the new field.,2
824,271,545,Financial constraints,Cost of certification programs was too high.,5
825,271,545,No support system,No one to discuss career options with.,5
826,501,990,Mental health issues,Depression impacted confidence to pursue a new career.,4
827,786,1540,Financial constraints,Cost of certification programs was too high.,1
828,786,1540,Fear of failure,Scared to leave a stable job for uncertainty.,2
829,440,868,Family responsibilities,Family obligations delayed career transition.,2
830,440,868,Financial constraints,Cost of certification programs was too high.,1
831,1206,2390,Family responsibilities,Family obligations delayed career transition.,3
832,247,501,Lack of experience,Didn't meet job requirements in new field.,4
833,36,79,Age-related bias,Concerned about competing with younger talent.,1
834,636,1240,Age-related bias,Felt overlooked due to being older than peers.,4
835,636,1240,Lack of experience,Rejected due to limited experience in tech.,5
836,1389,2747,Fear of failure,Scared to leave a stable job for uncertainty.,4
837,528,1037,Lack of education,Felt underqualified without a diploma in the new field.,3
838,424,836,Time limitations,Balancing a full-time job left no time for study.,4
839,424,836,Fear of failure,Worried about not succeeding in a new industry.,5
840,878,1729,Lack of experience,Struggled to get interviews without domain experience.,3
841,287,579,Family responsibilities,Family obligations delayed career transition.,2
842,287,579,Age-related bias,Felt overlooked due to being older than peers.,5
843,1,3,Family responsibilities,Family obligations delayed career transition.,5
844,1368,2700,Mental health issues,Anxiety affected my ability to commit to change.,3
845,1094,2177,Fear of failure,Fear of starting over held me back.,1
846,889,1754,Financial constraints,Cost of certification programs was too high.,4
847,244,495,Lack of education,Felt underqualified without a diploma in the new field.,2
848,244,495,Lack of experience,Struggled to get interviews without domain experience.,3
849,833,1630,No support system,Lacked mentorship or guidance in new field.,2
850,833,1630,Mental health issues,Anxiety affected my ability to commit to change.,4
851,1220,2422,Lack of education,Felt underqualified without a diploma in the new field.,5
852,75,153,Financial constraints,Couldn't afford tuition fees for reskilling.,3
853,1350,2667,Lack of education,Felt underqualified without a diploma in the new field.,1
854,1350,2667,Time limitations,Transition delayed due to lack of free time.,3
855,2,4,Age-related bias,Felt overlooked due to being older than peers.,5
856,1011,2006,Fear of failure,Scared to leave a stable job for uncertainty.,3
857,1421,2814,Fear of failure,Scared to leave a stable job for uncertainty.,3
858,982,1943,Age-related bias,Felt overlooked due to being older than peers.,4
859,197,394,No support system,No one to discuss career options with.,4
860,812,1594,Fear of failure,Scared to leave a stable job for uncertainty.,2
861,292,587,Mental health issues,Depression impacted confidence to pursue a new career.,3
862,734,1432,Lack of education,Felt underqualified without a diploma in the new field.,2
863,123,254,Family responsibilities,Couldn't attend evening courses due to childcare.,3
864,802,1578,Financial constraints,Cost of certification programs was too high.,4
865,256,517,Lack of experience,Struggled to get interviews without domain experience.,5
866,256,517,Fear of failure,Scared to leave a stable job for uncertainty.,4
867,488,963,Mental health issues,Depression impacted confidence to pursue a new career.,5
868,488,963,Time limitations,Balancing a full-time job left no time for study.,1
869,441,870,No support system,Lacked mentorship or guidance in new field.,4
870,448,881,No support system,Lacked mentorship or guidance in new field.,5
871,448,881,Lack of education,Felt underqualified without a diploma in the new field.,4
872,715,1394,Mental health issues,Depression impacted confidence to pursue a new career.,3
873,1117,2220,Fear of failure,Fear of starting over held me back.,2
874,1117,2220,Family responsibilities,Hard to relocate or change jobs with family needs.,5
875,484,954,Financial constraints,Lost income made it hard to switch careers.,4
876,484,954,No support system,No one to discuss career options with.,2
877,699,1364,Time limitations,Transition delayed due to lack of free time.,1
878,1485,2946,Age-related bias,Felt overlooked due to being older than peers.,3
879,1485,2946,No support system,Lacked mentorship or guidance in new field.,4
880,1311,2595,No support system,Lacked mentorship or guidance in new field.,5
881,803,1580,Fear of failure,Fear of starting over held me back.,4
882,803,1580,No support system,Lacked mentorship or guidance in new field.,2
883,81,168,Mental health issues,Anxiety affected my ability to commit to change.,1
884,766,1501,Time limitations,Balancing a full-time job left no time for study.,4
885,7,16,Fear of failure,Worried about not succeeding in a new industry.,2
886,7,16,Time limitations,Couldn't attend classes due to long work hours.,2
887,604,1174,Financial constraints,Lost income made it hard to switch careers.,2
888,428,846,Lack of education,Felt underqualified without a diploma in the new field.,2
889,571,1107,Age-related bias,Concerned about competing with younger talent.,4
890,571,1107,Family responsibilities,Family obligations delayed career transition.,2
891,1278,2536,No support system,Lacked mentorship or guidance in new field.,4
892,911,1796,Time limitations,Balancing a full-time job left no time for study.,2
